iter	Passed	Remaining
1462	36153	37981
1463	36178	37957
1464	36201	37931
1465	36225	37905
1466	36248	37879
1467	36272	37854
1468	36297	37829
1469	36322	37804
1470	36345	37778
1471	36368	37751
1472	36392	37726
1473	36416	37701
1474	36439	37674
1475	36462	37648
1476	36487	37624
1477	36511	37598
1478	36534	37571
1479	36558	37546
1480	36580	37519
1481	36603	37492
1482	36628	37468
1483	36653	37444
1484	36677	37418
1485	36701	37392
1486	36726	37368
1487	36753	37345
1488	36776	37320
1489	36802	37296
1490	36827	37271
1491	36850	37246
1492	36874	37219
1493	36899	37195
1494	36922	37169
1495	36945	37143
1496	36971	37119
1497	36994	37093
1498	37017	37066
1499	37041	37041
1500	37065	37015
1501	37089	36991
1502	37114	36965
1503	37136	36938
1504	37157	36911
1505	37182	36886
1506	37207	36861
1507	37230	36835
1508	37254	36810
1509	37279	36785
1510	37303	36760
1511	37324	36732
1512	37349	36707
1513	37372	36681
1514	37395	36654
1515	37419	36629
1516	37443	36603
1517	37465	36576
1518	37488	36551
1519	37512	36525
1520	37536	36499
1521	37560	36474
1522	37583	36448
1523	37611	36427
1524	37636	36402
1525	37659	36375
1526	37681	36348
1527	37705	36323
1528	37730	36299
1529	37752	36272
1530	37776	36247
1531	37799	36220
1532	37823	36195
1533	37846	36168
1534	37869	36142
1535	37893	36117
1536	37919	36093
1537	37943	36068
1538	37968	36044
1539	37994	36020
1540	38019	35996
1541	38043	35970
1542	38067	35945
1543	38089	35918
1544	38111	35891
1545	38133	35864
1546	38159	35840
1547	38182	35814
1548	38207	35789
1549	38230	35763
1550	38256	35740
1551	38281	35715
1552	38305	35691
1553	38330	35666
1554	38354	35641
1555	38378	35616
1556	38403	35591
1557	38427	35566
1558	38452	35542
1559	38477	35518
1560	38504	35494
1561	38527	35469
1562	38550	35443
1563	38573	35416
1564	38596	35390
1565	38619	35364
1566	38641	35337
1567	38664	35311
1568	38688	35285
1569	38713	35261
1570	38739	35237
1571	38765	35214
1572	38787	35187
1573	38812	35162
1574	38837	35138
1575	38860	35112
1576	38883	35086
1577	38907	35061
1578	38931	35035
1579	38955	35010
1580	38977	34983
1581	39002	34959
1582	39023	34931
1583	39046	34905
1584	39069	34879
1585	39093	34853
1586	39116	34827
1587	39140	34802
1588	39164	34776
1589	39188	34752
1590	39211	34726
1591	39235	34700
1592	39260	34676
1593	39283	34649
1594	39308	34626
1595	39333	34601
1596	39357	34576
1597	39382	34552
1598	39405	34526
1599	39428	34500
1600	39452	34474
1601	39477	34450
1602	39499	34423
1603	39525	34399
1604	39548	34374
1605	39572	34348
1606	39595	34322
1607	39618	34296
1608	39643	34271
1609	39669	34248
1610	39693	34223
1611	39723	34203
1612	39752	34182
1613	39782	34162
1614	39809	34139
1615	39833	34115
1616	39858	34090
1617	39884	34067
1618	39909	34042
1619	39934	34017
1620	39955	33990
1621	39982	33967
1622	40007	33943
1623	40030	33917
1624	40053	33891
1625	40077	33866
1626	40100	33839
1627	40123	33814
1628	40146	33787
1629	40169	33761
1630	40192	33735
1631	40215	33710
1632	40239	33684
1633	40262	33658
1634	40285	33632
1635	40308	33606
1636	40332	33581
1637	40355	33555
1638	40377	33529
1639	40402	33504
1640	40425	33478
1641	40449	33453
1642	40472	33427
1643	40494	33400
1644	40516	33374
1645	40540	33348
1646	40563	33322
1647	40586	33296
1648	40609	33270
1649	40632	33244
1650	40658	33221
1651	40683	33196
1652	40705	33170
1653	40729	33145
1654	40754	33120
1655	40780	33097
1656	40806	33073
1657	40832	33050
1658	40854	33023
1659	40876	32996
1660	40899	32970
1661	40923	32945
